Area Category;Nama Daerah;Luas Tanah (m2);Luas Bangunan (m2);Jumlah Kamar;Jumlah Km Mandi;Tingkat/Lantai ;Harga rata2 Komunitas;Harga Dipasarkan (dari Owner);Harga Terjual;Terjual/Belum;Status Kepemilikan;Arah Hadap Rumah;Posisi Rumah;Lebar Jalan Depan Rumah (ROW)
Standard;pinus asri;150;140;4;2;1;1.000.000.000;1.450.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;1-2 Mobil
Standard;pondok maritim;135;120;3;2;1,5;1.250.000.000;1.500.000.000;;Belum;Hak Milik (SHM);Utara;Standard;< 1 Mobil
Standard;Alam Galaxy;72;48;1;2;2;1.300.000.000;1.400.000.000;;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Standard;Royal;50;65;2;1;2;1.400.000.000;1.300.000.000;;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Premium;wisata bukit mas;160;320;7;4;2;4.300.000.000;3.800.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;> 2 Mobil
Premium;wisata bukit mas;180;240;5;3;2;4.000.000.000;4.000.000.000;;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil
Premium;wisata bukit mas;66;198;4;4;3;1.900.000.000;1.600.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Utara;Standard;1-2 Mobil
Premium;wisata bukit mas;66;198;5;5;3;1.900.000.000;1.600.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Utara;Standard;1-2 Mobil
Premium;wisata bukit mas;66;198;6;6;3;1.900.000.000;1.600.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Utara;Standard;1-2 Mobil
Premium;wisata bukit mas;218;280;4;3;2;3.600.000.000;3.500.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Premium;graha natura;96;74;4;3;2;2.200.000.000;2.200.000.000;;Belum;Hak Guna Bangunan (HGB);Timur;Standard;> 2 Mobil
Premium;grand pakuwon;72;70;2;2;2;1.300.000.000;1.325.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Premium;grand pakuwon;48;57;2;2;2;1.250.000.000;1.250.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Barat;Standard;> 2 Mobil
Premium;kupang indah;345;540;6;5;2;5.800.000.000;5.800.000.000;;Belum;Hak Milik (SHM);Barat;Standard;> 2 Mobil
Premium;kupang indah;315;315;3;2;1;4.000.000.000;3.600.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Standard;manyar;240;330;5;4;2;5.100.000.000;5.300.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
Premium;pakuwon;144;170;4;4;2;4.000.000.000;4.300.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Sangat Premium;pakuwon;360;500;6;6;2;8.000.000.000;10.000.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;> 2 Mobil
Sangat Premium;bukit golf;1554;1500;7;6;2;38.500.000.000;38.500.000.000;;Belum;Hak Milik (SHM);Timur;Standard;> 2 Mobil
Standard;bukit palma;105;170;5;2;2;1.395.000.000;1.900.000.000;;Belum;Hak Milik (SHM);Utara;Standard;1-2 Mobil
Standard;bukit palma;158;180;5;4;2;2.400.000.000;2.000.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;1-2 Mobil
Standard;bukit palma;115;104;4;3;2;1.850.000.000;1.850.000.000;;Belum;Hak Guna Bangunan (HGB);Selatan;Standard;1-2 Mobil
Standard;greenhill;97,7;50;2;1;1;1.250.000.000;1.250.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Barat;Standard;> 2 Mobil
Standard;greenhill;105;69;3;2;2;1.836.000.000;1.850.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Premium;northwest central;105;104;3;2;2;1.900.000.000;1.900.000.000;;Belum;Pengikatan Perjanjian Jual Beli (PPJB);Selatan;Standard;> 2 Mobil
Premium;northwest hill;60;48;1;2;2;1.250.000.000;1.200.000.000;;Belum;Hak Guna Bangunan (HGB);Utara;Standard;> 2 Mobil
Premium;woodland;180;130;4;3;1;2.400.000.000;2.600.000.000;;Belum;Hak Milik (SHM);Selatan;Standard;> 2 Mobil
Standard;darmo permai;286;262;5;2;1;4.100.000.000;4.100.000.000;;Belum;Hak Milik (SHM);Utara;Standard;> 2 Mobil
